시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부,현대카드_가맹여부_재검토
용인시,GS25 동천필타운점  ,(편의점/편의점),경기도 용인시 수지구 동천동 185-14번지 필하우스,16826,37.34027718,127.1013692,5822401303,5202,909710262,계속사업자,X,O
용인시,GS25 동천수진점  ,(편의점/편의점),경기도 용인시 수지구 동천동 873-3번지,16828,37.3359679,127.0932302,1741500227,5202,911734284,계속사업자,X,O
용인시,GS25 수지나래가점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1493번지 LH 청년나래가,16865,37.33488336,127.1084079,7754500861,5202,915240700,계속사업자,X,X
용인시,GS25 동천자이점  ,(편의점/편의점),경기도 용인시 수지구 동천동 105-3번지 동천자이아파트,16824,37.34588402,127.0908735,6511002921,5202,923137948,계속사업자,X,O
용인시,GS25 수지신정마을점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1104-1번지,16840,37.32034101,127.0915312,2431303040,5202,921929395,계속사업자,X,O
용인시,GS25 죽전도담마을점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 414번지,16874,37.32567201,127.1141445,6213801420,5202,922804761,계속사업자,X,O
용인시,GS25 수지서봉점  ,(편의점/편의점),경기도 용인시 수지구 신봉동 576-2번지,16803,37.33283706,127.054833,1420394308,5202,8106220192,계속사업자,X,O
용인시,GS25 동천유타워점  ,(편의점/편의점),경기도 용인시 수지구 동천동 899번지,16827,37.33825017,127.101696,8060403233,5202,921639861,계속사업자,X,O
용인시,GS25 수지문인점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 669-1번지,16829,37.33290613,127.0993762,7124200568,5202,902351569,폐업자,X,X
용인시,GS25 수지캐슬점  ,(편의점/편의점),경기도 용인시 수지구 성복동 814번지 성복역롯데캐슬파크나인,16856,37.31118804,127.0750707,5380201885,5202,905887270,계속사업자,X,X
용인시,GS25 수지이현점  ,(편의점/편의점),경기도 용인시 수지구 상현동 32-1번지 한일코지세상,16928,37.31151763,127.0918836,1420983900,5202,917447105,,X,O
용인시,GS25 수지힐스점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1157번지,16842,37.3188187,127.0944512,1393701282,5202,912459360,계속사업자,X,O
용인시,GS25 용인상현점  ,(편의점/편의점),경기도 용인시 수지구 상현동 259번지,16930,37.30737593,127.0854513,3016700565,5202,919018672,계속사업자,X,O
용인시,GS25 수지구청역점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1045-1번지,16841,37.32250616,127.0946797,3704900908,5202,919898339,계속사업자,X,X
용인시,GS25 S성복역점  ,(편의점/편의점),경기도 용인시 수지구 성복동 720-6번지,16847,37.31335163,127.0801933,8320502958,5202,915513494,계속사업자,X,X
용인시,GS25수지서홍점  ,(편의점/편의점),경기도 용인시 수지구 신봉동 880번지,16816,37.32383784,127.0810605,2822700991,5202,900606055,,X,O
용인시,GS25 수지인현점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 548번지,16866,37.33171379,127.1121495,2400302835,5202,918267023,계속사업자,X,O
용인시,GS25수지현대점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 706-3번지,16837,37.32508667,127.0954221,3041703192,5202,909298755,계속사업자,X,O
용인시,GS25 수지수석점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1080-1번지,16841,37.32183713,127.0940964,2092396062,5202,917333313,계속사업자,X,O
용인시,GS25 신봉늘푸른점  ,(편의점/편의점),경기도 용인시 수지구 신봉동 933-4번지,16812,37.32994266,127.0691857,1550201526,5202,902121673,계속사업자,X,O
용인시,GS25 죽전한양점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1262번지,16874,37.32529829,127.1184242,6820802733,5202,916764575,,X,O
용인시,GS25 수지제일점  ,(편의점/편의점),경기도 용인시 수지구 동천동 371-5번지,16826,37.34039418,127.0986478,6432501736,5202,920725109,계속사업자,X,O
용인시,GS25 광교타운점  ,(편의점/편의점),경기도 용인시 수지구 상현동 1159-1번지,16940,37.29668418,127.0799813,5540202168,5202,906950044,계속사업자,X,X
용인시,GS25 동천손골점  ,(편의점/편의점),경기도 용인시 수지구 동천동 618-3번지,16802,37.34414857,127.0618451,7062900851,5202,902800912,계속사업자,X,O
용인시,GS25 수지수풍로점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 661번지,16828,37.33343699,127.0938083,1786400042,5202,980401848,계속사업자,X,X
용인시,GS25 신봉센트레빌점  ,(편의점/편의점),경기도 용인시 수지구 신봉동 949번지 신봉마을동부센트레빌5단지,16811,37.33091455,127.0662791,8421402597,5202,920983930,계속사업자,X,O
용인시,GS25 수지삼영점  ,(편의점/편의점),경기도 용인시 수지구 성복동 748번지 신봉샤르망3,16848,37.31489313,127.0802299,1044263383,5202,907354337,계속사업자,X,O
용인시,GS25 수지덕풍점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 686-4번지,16829,37.33101501,127.0999055,2150823969,5202,909424278,계속사업자,X,O
용인시,GS25 수지엘지점  ,(편의점/편의점),경기도 용인시 수지구 성복동 97-14번지,16850,37.31553597,127.0759716,8665200845,5202,916576920,계속사업자,X,O
용인시,GS25 수지고기점  ,(편의점/편의점),경기도 용인시 수지구 고기동 40-1번지,16801,37.35479814,127.0703761,3681202678,5202,920672210,계속사업자,X,O
용인시,GS25 수지초입점  ,(편의점/편의점),경기도 용인시 수지구 동천동 884-7번지,16828,37.33334742,127.0966082,8173800978,5202,910310466,계속사업자,X,X
용인시,GS25 수지영진점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 738-5번지,16832,37.32710702,127.1011002,8223701098,5202,917000581,계속사업자,X,O
용인시,GS25 죽전성운점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1189-3번지,16876,37.33198094,127.1251182,5625000667,5202,913992724,계속사업자,X,O
용인시,GS25 수지중앙점  ,(편의점/편의점),경기도 용인시 수지구 상현동 858번지,16930,37.30977017,127.0870406,3060993225,5202,918806804,,X,X
용인시,GS25 수지신수로점  ,(편의점/편의점),경기도 용인시 수지구 동천동 185-1번지,16826,37.3420285,127.1021502,1412401441,5202,906278883,계속사업자,X,O
용인시,GS25 수지송화점  ,(편의점/편의점),경기도 용인시 수지구 상현동 17-1번지,16928,37.31227222,127.0911347,1420983900,5202,975123043,,X,X
용인시,GS25 수지동천로점  ,(편의점/편의점),경기도 용인시 수지구 동천동 937번지,16822,37.33730454,127.0887638,3854300631,5202,902723551,계속사업자,X,O
용인시,GS25 죽전한양점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1262번지 도담마을한양수자인,16874,37.32473282,127.119172,3133201599,5202,922718649,계속사업자,X,O
용인시,GS25 수지이현점  ,(편의점/편의점),경기도 용인시 수지구 상현동 32-1번지 한일코지세상,16928,37.31151763,127.0918836,5832601858,5202,922508149,계속사업자,X,O
용인시,GS25 수지서홍점  ,(편의점/편의점),경기도 용인시 수지구 신봉동 880번지,16816,37.32383784,127.0810605,5012766268,5202,922467585,계속사업자,X,O
용인시,GS25 수지죽전점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1175-1번지,16875,37.33223355,127.1195406,4582501462,5202,908960066,계속사업자,X,O
용인시,GS25 죽전단국대점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1335-3번지,16889,37.32403058,127.1250787,2221614916,5202,918567638,계속사업자,X,X
용인시,GS25 광교산자이점,(편의점/편의점),경기도 용인시 수지구 신봉동 940-5번지,16812,37.32911259,127.071448,3142902908,5202,8106368948,계속사업자,X,O
용인시,GS25 수지상록점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1028번지,16844,37.31835957,127.0868017,8022202065,5202,921532439,계속사업자,X,O
용인시,GS25 죽전동성점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 501번지 동성1차아파트,16868,37.33058311,127.1109475,1351581792,5202,993568328,계속사업자,X,X
용인시,GS25 성복캐슬점  ,(편의점/편의점),경기도 용인시 수지구 성복동 819번지 성복역롯데캐슬클라시엘,16856,37.31371999,127.0723028,1694000590,5202,905891223,계속사업자,X,X
용인시,GS25 죽전솔하임점  ,(편의점/편의점),경기도 용인시 수지구 죽전동 1088-2번지 죽전역솔하임,16873,37.32753597,127.1135593,6851901888,5202,915677596,계속사업자,X,O
용인시,GS25 수지하나로점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1080-9번지,16841,37.32253617,127.0955487,5463101023,5202,908192918,계속사업자,X,O
용인시,GS25 동천유타워점  ,(편의점/편의점),경기도 용인시 수지구 동천동 899번지,16827,37.33825017,127.101696,7960301912,5202,904737658,,X,O
용인시,GS25 수지구청점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 722-7번지,16835,37.32320106,127.0975654,7162102165,5202,922722328,계속사업자,X,O
용인시,GS25 성복리버파크점  ,(편의점/편의점),경기도 용인시 수지구 상현동 1번지 성복역리버파크,16929,37.31386747,127.088474,1333800958,5202,909116890,계속사업자,X,
용인시,GS25 수지우남점  ,(편의점/편의점),경기도 용인시 수지구 신봉동 905번지 서홍마을우남퍼스트빌,16845,37.32092226,127.0799029,2064392196,5202,908874879,계속사업자,X,
용인시,GS25 수지동문점  ,(편의점/편의점),경기도 용인시 수지구 풍덕천동 690번지,16820,37.32887043,127.0921961,8173701344,5202,921987484,계속사업자,X,
